CO, Alcohol, CO2, Toluene, NH4, Acetone
51913.79, 2815.62, 2810.13, 2210.47, 1674.56, 1564.56
57278.65, 3048.40, 3018.39, 2409.12, 1781.27, 1701.92
63312.34, 3305.25, 3246.34, 2629.77, 1896.93, 1854.21
72580.37, 3690.86, 3585.29, 2963.70, 2066.90, 2084.16
86793.44, 4264.43, 4083.05, 3465.74, 2312.63, 2428.81
97973.23, 4702.88, 4459.00, 3853.37, 2495.51, 2694.15
107453.61, 5067.16, 4768.68, 4177.74, 2644.58, 2915.74
120384.57, 5554.25, 5179.32, 4614.49, 2840.24, 3213.50
156840.81, 6877.38, 6277.56, 5816.41, 3353.68, 4029.87
151765.86, 6697.07, 6129.24, 5651.39, 3285.10, 3918.03
159906.59, 6985.76, 6366.53, 5915.77, 3394.71, 4097.19
168167.50, 7275.84, 6603.97, 6182.35, 3503.83, 4277.65
190044.80, 8031.27, 7217.99, 6880.66, 3783.61, 4749.59
197969.25, 8300.70, 7435.56, 7131.07, 3881.96, 4918.57
229157.73, 9341.89, 8269.93, 8104.97, 4255.60, 5574.54
235980.89, 9565.93, 8448.21, 8315.75, 4334.76, 5716.27
248309.78, 9967.62, 8766.83, 8694.69, 4475.67, 5970.89
260793.94, 10370.48, 9085.09, 9076.02, 4615.72, 6226.86
270183.94, 10671.05, 9321.74, 9361.34, 4719.43, 6418.22
295227.56, 11463.11, 9942.20, 10116.36, 4989.66, 6924.01
298155.56, 11554.85, 10013.78, 10204.10, 5020.69, 6982.73
308338.59, 11872.57, 10261.26, 10508.41, 5127.73, 7186.32
308948.72, 11891.54, 10276.02, 10526.60, 5134.10, 7198.48
322057.41, 12297.45, 10591.17, 10916.41, 5269.87, 7459.06
328502.06, 12495.84, 10744.82, 11107.32, 5335.87, 7586.61
345897.03, 13027.63, 11155.51, 11620.31, 5511.64, 7929.09
309560.00, 11910.54, 10290.79, 10544.83, 5140.47, 7210.67
354247.94, 13281.09, 11350.65, 11865.43, 5594.85, 8092.62
336414.28, 12738.38, 10932.34, 11341.07, 5416.24, 7742.70
339769.41, 12840.90, 11011.50, 11439.98, 5450.11, 7808.74
345210.53, 13006.74, 11139.41, 11600.12, 5504.77, 7915.62
369373.00, 13737.26, 11700.94, 12307.56, 5743.74, 8387.40
370109.81, 13759.39, 11717.90, 12329.04, 5750.93, 8401.71
385175.72, 14210.05, 12062.76, 12767.10, 5896.89, 8693.53
394523.22, 14487.96, 12274.87, 13037.80, 5986.38, 8873.75
392164.41, 14417.95, 12221.47, 12969.57, 5963.87, 8828.33
399286.00, 14629.06, 12382.41, 13175.43, 6031.67, 8965.35
407358.34, 14867.49, 12563.90, 13408.22, 6107.98, 9120.22
370109.81, 13759.39, 11717.90, 12329.04, 5750.93, 8401.71
308948.72, 11891.54, 10276.02, 10526.60, 5134.10, 7198.48
173466.73, 7460.48, 6754.61, 6352.49, 3572.79, 4392.74
88478.53, 4331.18, 4140.53, 3524.55, 2340.73, 2469.10
44135.95, 2469.66, 2497.38, 1917.80, 1512.25, 1361.67
34900.18, 2043.05, 2105.53, 1561.64, 1304.89, 1113.82
26808.10, 1650.99, 1738.12, 1239.76, 1105.64, 888.76
26132.44, 1617.30, 1706.17, 1212.37, 1088.05, 869.55
23776.91, 1498.49, 1592.94, 1116.19, 1025.37, 802.03
22014.52, 1408.12, 1506.21, 1043.45, 976.95, 750.88
21711.75, 1392.45, 1491.12, 1030.88, 968.49, 742.03
21497.92, 1381.37, 1480.43, 1021.99, 962.49, 735.77
21797.84, 1396.91, 1495.42, 1034.46, 970.90, 744.55
22145.53, 1414.88, 1512.72, 1048.88, 980.60, 754.70
21243.99, 1368.17, 1467.70, 1011.42, 955.33, 728.33
21927.60, 1403.62, 1501.88, 1039.84, 974.53, 748.34
21540.51, 1383.58, 1482.56, 1023.76, 963.68, 737.02
21927.60, 1403.62, 1501.88, 1039.84, 974.53, 748.34
22677.00, 1442.24, 1539.02, 1070.88, 995.32, 770.17
22543.01, 1435.36, 1532.41, 1065.34, 991.62, 766.28
22766.77, 1446.85, 1543.45, 1074.58, 997.79, 772.78
21370.60, 1374.75, 1474.05, 1016.69, 958.90, 732.04
21159.99, 1363.80, 1463.48, 1007.92, 952.95, 725.87
19858.34, 1295.63, 1397.47, 953.45, 915.70, 687.48
18596.22, 1228.70, 1332.33, 900.21, 878.70, 649.92
17620.78, 1176.37, 1281.15, 858.76, 849.46, 620.63
15845.63, 1079.68, 1185.98, 782.56, 794.65, 566.72
15313.12, 1050.28, 1156.87, 759.50, 777.77, 550.39
14797.58, 1021.62, 1128.43, 737.08, 761.21, 534.49
15973.45, 1086.71, 1192.93, 788.08, 798.67, 570.63
15313.12, 1050.28, 1156.87, 759.50, 777.77, 550.39
19122.02, 1256.68, 1359.61, 922.45, 894.22, 665.61
21370.60, 1374.75, 1474.05, 1016.69, 958.90, 732.04
24059.78, 1512.87, 1606.69, 1127.80, 1033.02, 810.19
27446.68, 1682.68, 1768.12, 1265.56, 1122.11, 906.84
30685.99, 1841.35, 1917.49, 1395.33, 1203.57, 997.68
35794.09, 2085.21, 2144.60, 1596.59, 1325.79, 1138.19
38164.52, 2196.06, 2246.93, 1688.73, 1380.28, 1202.39
42955.93, 2416.19, 2448.66, 1872.86, 1486.73, 1330.45
46412.28, 2572.04, 2590.37, 2004.08, 1560.78, 1421.54
52215.16, 2828.82, 2821.98, 2221.70, 1680.66, 1572.33
52114.52, 2824.41, 2818.03, 2217.95, 1678.63, 1569.73
62947.77, 3289.87, 3232.74, 2616.52, 1890.06, 1845.07
70245.36, 3594.65, 3501.07, 2880.10, 2024.88, 2026.65
74848.53, 3783.74, 3666.40, 3044.59, 2107.24, 2139.77
81770.98, 4063.97, 3909.91, 3289.60, 2227.64, 2308.02
93913.77, 4544.85, 4323.92, 3713.29, 2430.05, 2598.34
99110.63, 4746.93, 4496.57, 3892.49, 2513.67, 2720.89
105405.09, 4988.98, 4702.42, 4107.96, 2612.80, 2868.10
110601.84, 5186.74, 4869.84, 4284.65, 2692.99, 2988.69
111887.05, 5235.36, 4910.92, 4328.19, 2712.60, 3018.38
123439.13, 5667.80, 5274.53, 4716.79, 2885.30, 3283.15
113843.09, 5309.17, 4973.18, 4394.33, 2742.29, 3063.48
136200.86, 6136.58, 5665.58, 5140.84, 3069.23, 3571.52
142112.25, 6350.83, 5843.29, 5335.55, 3152.24, 3703.76
150305.36, 6644.96, 6086.30, 5603.77, 3265.21, 3885.74
145727.27, 6481.00, 5950.97, 5454.13, 3202.38, 3784.23
160216.56, 6996.70, 6375.50, 5925.81, 3398.84, 4103.98
158059.88, 6920.52, 6312.99, 5855.95, 3370.03, 4056.66
164620.66, 7151.64, 6502.42, 6068.10, 3457.23, 4200.33
174479.28, 7495.63, 6783.25, 6384.92, 3585.87, 4414.67
177208.84, 7590.20, 6860.23, 6472.24, 3621.01, 4473.71
184584.41, 7844.37, 7066.63, 6707.35, 3714.96, 4632.57
209474.94, 8688.24, 7747.27, 7492.43, 4022.19, 5162.18
222104.00, 9108.93, 8084.09, 7886.24, 4172.84, 5427.37
214435.30, 8854.04, 7880.21, 7647.45, 4081.75, 5266.61
234141.23, 9505.65, 8400.28, 8258.99, 4313.50, 5678.11
224283.84, 9181.07, 8141.69, 7953.92, 4198.52, 5472.92
216115.52, 8910.04, 7925.05, 7699.86, 4101.81, 5301.90
195671.06, 8222.78, 7372.71, 7058.58, 3853.59, 4869.66
193024.50, 8132.83, 7300.09, 6974.96, 3820.77, 4813.25
137256.84, 6174.98, 5697.47, 5175.70, 3084.16, 3595.20
51217.22, 2785.07, 2782.67, 2184.50, 1660.42, 1546.57
14649.10, 1013.34, 1120.18, 730.60, 756.41, 529.90
7548.61, 593.16, 691.78, 409.00, 498.75, 300.46
6000.52, 492.79, 585.47, 334.58, 431.79, 246.88
5810.31, 480.14, 571.92, 325.28, 423.14, 240.17
5260.93, 443.12, 532.08, 298.20, 397.55, 220.60
5553.30, 462.91, 553.42, 312.65, 411.29, 231.05
4646.17, 400.80, 486.12, 267.48, 367.70, 198.35
4917.95, 419.64, 506.64, 281.12, 381.06, 208.24
5103.42, 432.37, 520.45, 290.38, 390.03, 214.94
5037.24, 427.84, 515.54, 287.08, 386.84, 212.55
5272.34, 443.90, 532.92, 298.77, 398.09, 221.01
5329.78, 447.80, 537.14, 301.61, 400.81, 223.07
6078.19, 497.94, 590.97, 338.37, 435.29, 249.62
5772.94, 477.64, 569.25, 323.45, 421.43, 238.85
6000.52, 492.79, 585.47, 334.58, 431.79, 246.88
5625.64, 467.77, 558.65, 316.22, 414.64, 233.63
6013.41, 493.65, 586.39, 335.21, 432.37, 247.34
4982.69, 424.09, 511.48, 284.36, 384.21, 210.58
5215.47, 440.02, 528.74, 295.95, 395.39, 218.97
5613.53, 466.96, 557.78, 315.62, 414.08, 233.19
5283.79, 444.67, 533.76, 299.34, 398.63, 221.42
6494.43, 525.30, 620.13, 358.56, 453.79, 264.17
7453.77, 587.14, 685.45, 404.50, 494.81, 297.23
7360.02, 581.17, 679.17, 400.04, 490.89, 294.03
7906.03, 615.75, 715.44, 425.89, 513.46, 312.60
8383.61, 645.62, 746.61, 448.32, 532.73, 328.69
8999.49, 683.67, 786.09, 477.01, 556.99, 349.24
9777.88, 731.05, 834.95, 512.93, 586.78, 374.94
10750.50, 789.24, 894.54, 557.30, 622.79, 406.63
11064.01, 807.78, 913.43, 571.50, 634.14, 416.76
12507.26, 891.88, 998.58, 636.22, 684.91, 462.86
14097.62, 982.41, 1089.37, 706.48, 738.39, 512.78
15813.83, 1077.93, 1184.25, 781.19, 793.64, 565.75
17515.45, 1170.69, 1275.58, 854.26, 846.26, 617.46
19779.56, 1291.47, 1393.44, 950.14, 913.42, 685.15
22543.01, 1435.36, 1532.41, 1065.34, 991.62, 766.28
27392.88, 1680.02, 1765.60, 1263.39, 1120.73, 905.32
30806.12, 1847.17, 1922.95, 1400.11, 1206.52, 1001.02
36425.95, 2114.89, 2172.05, 1621.22, 1340.44, 1155.36
41243.57, 2338.09, 2377.31, 1807.37, 1449.22, 1284.94
48898.07, 2682.75, 2690.50, 2097.70, 1612.78, 1486.45
46054.71, 2556.03, 2575.84, 1990.56, 1553.22, 1412.17
63190.62, 3300.12, 3241.80, 2625.35, 1894.64, 1851.16
69439.23, 3561.29, 3471.82, 2851.16, 2010.25, 2006.73
75862.94, 3825.11, 3702.45, 3080.66, 2125.14, 2164.56
87631.94, 4297.68, 4111.69, 3495.02, 2326.64, 2448.87
94821.25, 4580.29, 4354.25, 3744.67, 2444.77, 2619.81
120849.49, 5571.57, 5193.86, 4630.08, 2847.13, 3224.12
113187.26, 5284.45, 4952.34, 4372.17, 2732.36, 3048.37
120384.57, 5554.25, 5179.32, 4614.49, 2840.24, 3213.50
129286.21, 5883.69, 5455.00, 4911.72, 2970.41, 3415.78
137787.86, 6194.27, 5713.49, 5193.21, 3091.64, 3607.10
146291.69, 6501.26, 5967.72, 5472.61, 3210.16, 3796.77
152944.75, 6739.05, 6163.81, 5689.78, 3301.10, 3944.05
165259.69, 7174.05, 6520.76, 6088.71, 3465.65, 4214.28
170795.97, 7367.56, 6678.85, 6266.82, 3538.14, 4334.80
178590.09, 7637.95, 6899.06, 6516.36, 3638.71, 4503.53
184226.22, 7832.07, 7056.66, 6695.96, 3710.43, 4624.88
190414.56, 8043.89, 7228.20, 6892.37, 3788.23, 4757.50
191901.56, 8094.59, 7269.19, 6939.45, 3806.79, 4789.27
190044.80, 8031.27, 7217.99, 6880.66, 3783.61, 4749.59
