CO, Alcohol, CO2, Toluene, NH4, Acetone
20509.32, 1329.83, 1430.62, 980.75, 934.44, 706.72
19505.88, 1277.02, 1379.39, 938.63, 905.46, 677.03
19818.05, 1293.50, 1395.41, 951.76, 914.53, 686.29
20945.04, 1352.60, 1452.66, 998.96, 946.86, 719.55
20081.49, 1307.37, 1408.87, 962.82, 922.15, 694.09
23671.15, 1493.10, 1587.78, 1111.84, 1022.50, 798.98
19923.06, 1299.04, 1400.78, 956.17, 917.57, 689.40
19096.29, 1255.32, 1358.28, 921.36, 893.47, 664.84
19351.41, 1268.85, 1371.44, 932.12, 900.95, 672.44
22417.18, 1428.88, 1526.19, 1060.13, 988.14, 762.62
21055.22, 1358.34, 1458.21, 1003.55, 949.99, 722.79
20945.04, 1352.60, 1452.66, 998.96, 946.86, 719.55
23006.89, 1459.17, 1555.27, 1084.49, 1004.39, 779.75
21840.66, 1399.13, 1497.55, 1036.24, 972.10, 745.80
25503.15, 1585.77, 1676.20, 1186.79, 1071.52, 851.60
27948.78, 1707.50, 1791.58, 1285.80, 1134.96, 921.02
29616.61, 1789.34, 1868.68, 1352.69, 1177.05, 967.85
33796.43, 1990.70, 2056.91, 1518.34, 1278.82, 1083.61
35069.82, 2051.06, 2112.96, 1568.28, 1308.88, 1118.46
37377.48, 2159.41, 2213.15, 1658.22, 1362.33, 1181.14
39914.83, 2277.06, 2321.38, 1756.31, 1419.71, 1249.43
41891.37, 2367.71, 2404.40, 1832.18, 1463.47, 1302.19
42296.91, 2386.21, 2421.29, 1847.70, 1472.36, 1312.97
44483.66, 2485.37, 2511.66, 1931.02, 1519.72, 1370.84
45996.69, 2553.43, 2573.48, 1988.37, 1551.99, 1410.64
42093.70, 2376.94, 2412.83, 1839.93, 1467.91, 1307.57
47895.22, 2638.22, 2650.27, 2060.00, 1591.93, 1460.32
47217.36, 2608.02, 2622.95, 2034.47, 1577.74, 1442.62
50336.53, 2746.32, 2747.81, 2151.59, 1642.42, 1523.79
49627.97, 2715.05, 2719.64, 2125.07, 1627.86, 1505.42
50933.89, 2772.61, 2771.47, 2173.92, 1654.64, 1539.25
50933.89, 2772.61, 2771.47, 2173.92, 1654.64, 1539.25
51054.10, 2777.90, 2776.23, 2178.41, 1657.09, 1542.36
53261.77, 2874.53, 2862.99, 2260.62, 1701.75, 1599.26
52516.61, 2842.00, 2833.82, 2232.92, 1686.75, 1580.09
52025.02, 2820.49, 2814.51, 2214.62, 1676.82, 1567.42
56469.34, 3013.56, 2987.33, 2379.31, 1765.42, 1681.32
60265.77, 3176.18, 3132.02, 2518.70, 1839.07, 1777.59
63553.48, 3315.41, 3255.33, 2638.53, 1901.47, 1860.25
65032.42, 3377.59, 3310.22, 2692.18, 1929.14, 1897.24
69497.69, 3563.71, 3473.94, 2853.26, 2011.31, 2008.17
74068.58, 3751.86, 3638.59, 3016.81, 2093.42, 2120.67
78553.66, 3934.32, 3797.46, 3176.07, 2172.17, 2230.09
79265.02, 3963.08, 3822.43, 3201.22, 2184.51, 2247.36
82538.59, 4094.76, 3936.55, 3316.61, 2240.75, 2326.55
83282.38, 4124.54, 3962.31, 3342.75, 2253.42, 2344.48
73566.25, 3731.30, 3620.63, 2998.90, 2084.49, 2108.36
91264.26, 4441.00, 4234.90, 3621.46, 2386.76, 2535.48
93936.15, 4545.72, 4324.67, 3714.07, 2430.41, 2598.87
98185.55, 4711.11, 4466.02, 3860.68, 2498.91, 2699.15
104657.98, 4960.40, 4678.17, 4082.47, 2601.15, 2850.70
105812.35, 5004.55, 4715.62, 4121.85, 2619.13, 2877.58
110305.63, 5175.51, 4860.36, 4274.61, 2688.45, 2981.83
114722.21, 5342.26, 5001.07, 4424.00, 2755.58, 3083.71
113975.09, 5314.14, 4977.37, 4398.78, 2744.29, 3066.52
120078.71, 5542.85, 5169.75, 4604.23, 2835.71, 3206.51
121124.55, 5581.81, 5202.45, 4639.30, 2851.19, 3230.40
124312.30, 5700.17, 5301.63, 4745.97, 2898.10, 3303.01
127576.58, 5820.76, 5402.47, 4854.84, 2945.67, 3377.09
134631.05, 6079.39, 5618.03, 5088.95, 3046.96, 3536.26
136084.22, 6132.33, 5662.05, 5136.98, 3067.58, 3568.90
141738.44, 6337.33, 5832.11, 5323.27, 3147.03, 3695.42
140831.52, 6304.56, 5804.96, 5293.45, 3134.37, 3675.18
147922.95, 6559.76, 6016.02, 5525.97, 3232.60, 3832.97
130919.34, 5943.65, 5505.01, 4965.97, 2993.92, 3452.67
156666.44, 6871.20, 6272.49, 5810.75, 3351.34, 4026.04
158336.97, 6930.32, 6321.04, 5864.93, 3373.74, 4062.75
159009.78, 6954.10, 6340.55, 5886.73, 3382.74, 4077.51
159685.14, 6977.94, 6360.12, 5908.60, 3391.75, 4092.33
174129.00, 7483.47, 6773.35, 6373.70, 3581.35, 4407.09
160023.84, 6989.90, 6369.92, 5919.57, 3396.27, 4099.76
155341.75, 6824.24, 6233.89, 5767.74, 3333.51, 3996.89
148238.56, 6571.06, 6025.35, 5536.29, 3236.93, 3839.97
145109.88, 6458.81, 5932.64, 5433.91, 3193.85, 3770.51
145109.88, 6458.81, 5932.64, 5433.91, 3193.85, 3770.51
153048.38, 6742.74, 6166.85, 5693.16, 3302.51, 3946.34
147293.55, 6537.20, 5997.40, 5505.39, 3223.95, 3819.01
147922.95, 6559.76, 6016.02, 5525.97, 3232.60, 3832.97
151751.91, 6696.57, 6128.83, 5650.93, 3284.91, 3917.72
157666.83, 6906.62, 6301.58, 5843.21, 3364.76, 4048.03
156002.80, 6847.68, 6253.16, 5789.21, 3342.41, 4011.44
166586.67, 7220.54, 6558.79, 6131.47, 3483.11, 4243.22
192571.50, 8117.41, 7287.63, 6960.64, 3815.13, 4803.58
181604.81, 7741.93, 6983.52, 6612.52, 3677.17, 4568.50
181224.09, 7728.82, 6972.88, 6600.38, 3672.33, 4560.31
183904.88, 7821.03, 7047.71, 6685.74, 3706.36, 4617.97
181986.39, 7755.06, 6994.19, 6624.67, 3682.03, 4576.72
182368.56, 7768.22, 7004.86, 6636.84, 3686.88, 4584.94
182368.56, 7768.22, 7004.86, 6636.84, 3686.88, 4584.94
182368.56, 7768.22, 7004.86, 6636.84, 3686.88, 4584.94
185453.20, 7874.18, 7090.80, 6734.97, 3725.93, 4651.22
183519.72, 7807.80, 7036.98, 6673.49, 3701.48, 4609.69
153700.42, 6765.94, 6185.94, 5714.37, 3311.34, 3960.72
194593.36, 8186.18, 7343.17, 7024.55, 3840.25, 4846.70
199526.42, 8353.40, 7478.03, 7180.12, 3901.11, 4951.65
207575.30, 8624.54, 7696.14, 7432.94, 3999.23, 5122.09
208007.28, 8639.04, 7707.78, 7446.48, 4004.46, 5131.21
224124.14, 9175.79, 8137.48, 7948.97, 4196.65, 5469.58
237946.13, 9630.22, 8499.30, 8376.31, 4357.40, 5756.98
244900.23, 9856.92, 8679.16, 8590.13, 4436.97, 5900.66
253080.38, 10122.01, 8888.95, 8840.69, 4529.49, 6068.91
265288.53, 10514.61, 9198.65, 9212.75, 4665.53, 6318.58
294956.88, 11454.62, 9935.57, 10108.24, 4986.79, 6918.58
317938.19, 12170.25, 10492.52, 10794.14, 5227.43, 7377.35
316653.97, 12130.53, 10461.70, 10755.97, 5214.16, 7351.84
336440.94, 12739.20, 10932.97, 11341.85, 5416.51, 7743.23
312197.72, 11992.45, 10354.46, 10623.41, 5167.94, 7263.21
374285.84, 13884.66, 11813.87, 12450.68, 5791.61, 8482.77
365379.84, 13617.19, 11608.85, 12191.06, 5704.65, 8309.75
372787.22, 13839.74, 11779.46, 12407.05, 5777.03, 8453.70
376544.09, 13952.28, 11865.64, 12516.39, 5813.53, 8526.55
381864.44, 14111.30, 11987.28, 12671.01, 5864.99, 8629.54
384166.22, 14179.96, 12039.77, 12737.81, 5887.17, 8674.03
391151.22, 14387.85, 12198.51, 12940.25, 5954.19, 8808.81
424526.22, 15371.58, 12946.64, 13901.40, 6268.44, 9448.15
366114.16, 13639.29, 11625.80, 12212.50, 5711.85, 8324.04
319873.59, 12230.05, 10538.92, 10851.61, 5247.40, 7415.76
399852.00, 14645.81, 12395.17, 13191.77, 6037.04, 8976.22
378815.59, 14020.23, 11917.63, 12582.44, 5835.54, 8570.54
362456.09, 13529.11, 11541.24, 12105.66, 5675.94, 8252.81
355958.13, 13332.86, 11390.46, 11915.54, 5611.81, 8126.04
339165.75, 12822.47, 10997.27, 11422.19, 5444.02, 7796.86
355958.13, 13332.86, 11390.46, 11915.54, 5611.81, 8126.04
350275.28, 13160.66, 11257.98, 11748.91, 5555.36, 8014.90
369807.41, 13750.31, 11710.94, 12320.23, 5747.98, 8395.84
364646.69, 13595.11, 11591.91, 12169.65, 5697.46, 8295.47
384936.47, 14202.92, 12057.31, 12760.16, 5894.59, 8688.91
399053.25, 14622.18, 12377.17, 13168.71, 6029.46, 8960.87
421154.75, 15272.90, 12871.81, 13804.75, 6237.12, 9383.91
439145.19, 15797.74, 13269.23, 14319.39, 6403.17, 9725.89
512605.16, 17900.02, 14848.36, 16394.75, 7056.52, 11102.29
492721.78, 17337.07, 14427.42, 15836.92, 6883.32, 10732.73
510582.31, 17842.94, 14805.74, 16338.12, 7039.01, 11064.79
542806.50, 18747.14, 15479.32, 17236.93, 7314.88, 11659.71
573582.19, 19601.10, 16112.50, 18089.12, 7572.72, 12223.14
615624.94, 20753.63, 16962.71, 19244.15, 7916.78, 12985.88
614417.69, 20720.76, 16938.52, 19211.13, 7907.03, 12964.08
642762.94, 21489.51, 17503.07, 19984.45, 8134.24, 13474.20
658048.31, 21901.35, 17804.68, 20399.69, 8255.21, 13747.93
686989.31, 22676.13, 18370.56, 21182.63, 8481.44, 14263.72
711579.81, 23329.52, 18846.28, 21844.63, 8670.89, 14699.51
764835.06, 24729.95, 19861.46, 23268.69, 9073.03, 15635.98
775336.63, 25003.85, 20059.34, 23548.02, 9151.08, 15819.51
833214.13, 26500.95, 21137.11, 25079.18, 9574.42, 16824.75
869598.38, 27431.81, 21804.16, 26034.89, 9834.94, 17451.49
928897.50, 28933.10, 22875.25, 27581.93, 10251.03, 18464.96
971231.31, 29993.58, 23628.48, 28678.78, 10542.05, 19182.75
995988.38, 30609.62, 24064.81, 29317.45, 10710.06, 19600.42
1074028.25, 32532.70, 25421.34, 31317.96, 11229.77, 20907.41
1116345.12, 33564.16, 26145.60, 32395.07, 11505.69, 21610.35
1169293.12, 34844.26, 27041.36, 33735.64, 11845.52, 22484.50
1404286.00, 40399.04, 30891.88, 39598.81, 13289.59, 26299.11
1280246.87, 37491.39, 28883.43, 36520.71, 12539.62, 24298.17
1322886.37, 38496.78, 29579.60, 37582.86, 12800.35, 24989.03
1398887.87, 40273.56, 30805.51, 39465.58, 13257.48, 26212.58
1448218.75, 41416.87, 31591.47, 40680.74, 13549.25, 27001.60
1479210.50, 42131.30, 32081.51, 41441.50, 13730.67, 27495.31
1502162.25, 42658.55, 32442.61, 42003.61, 13864.11, 27859.98
1549131.50, 43732.71, 33176.93, 43150.62, 14134.85, 28603.76
1401584.62, 40336.26, 30848.67, 39532.14, 13273.53, 26255.81
1594489.25, 44764.10, 33880.30, 44254.16, 14393.41, 29318.94
1582266.37, 44486.73, 33691.30, 43957.18, 14324.01, 29126.50
1603717.87, 44973.25, 34022.74, 44478.21, 14445.69, 29464.09
1619218.50, 45324.03, 34261.47, 44854.16, 14533.23, 29707.61
1616105.75, 45253.64, 34213.58, 44778.70, 14515.68, 29658.73
1507955.50, 42791.38, 32533.52, 42145.33, 13897.67, 27951.90
1160300.25, 34627.64, 26890.01, 33508.50, 11788.21, 22336.44
806118.25, 25802.65, 20635.18, 24364.06, 9377.64, 16355.43
588435.13, 20010.07, 16414.74, 18498.34, 7695.31, 12493.50
487867.78, 17198.99, 14323.96, 15700.31, 6840.65, 10642.18
434796.50, 15671.26, 13173.58, 14195.24, 6363.27, 9643.41
403061.09, 14740.68, 12467.41, 13284.36, 6067.43, 9037.83
402256.31, 14716.90, 12449.31, 13261.15, 6059.82, 9022.39
402256.31, 14716.90, 12449.31, 13261.15, 6059.82, 9022.39
386481.31, 14248.95, 12092.46, 12804.96, 5909.43, 8718.74
399852.00, 14645.81, 12395.17, 13191.77, 6037.04, 8976.22
399852.00, 14645.81, 12395.17, 13191.77, 6037.04, 8976.22
403867.28, 14764.49, 12485.53, 13307.61, 6075.05, 9053.30
433068.75, 15620.94, 13135.50, 14145.87, 6347.37, 9610.61
403061.09, 14740.68, 12467.41, 13284.36, 6067.43, 9037.83
404674.94, 14788.33, 12503.68, 13330.90, 6082.68, 9068.79
419478.59, 15223.78, 12834.55, 13756.66, 6221.51, 9351.94
401453.53, 14693.17, 12431.24, 13237.99, 6052.22, 9006.98
434796.50, 15671.26, 13173.58, 14195.24, 6363.27, 9643.41
440896.38, 15848.60, 13307.68, 14369.34, 6419.20, 9759.06
450646.72, 16131.10, 13520.98, 14647.03, 6508.01, 9943.46
455146.44, 16261.08, 13618.99, 14774.92, 6548.75, 10028.36
480196.19, 16980.21, 14159.86, 15484.07, 6772.89, 10498.82
467047.44, 16603.66, 13876.94, 15112.43, 6655.79, 10252.32
502569.19, 17616.41, 14636.46, 16113.53, 6969.42, 10916.02
514635.03, 17957.25, 14891.08, 16451.54, 7074.06, 11139.90
529062.63, 18362.79, 15193.41, 16854.42, 7197.99, 11406.61
548183.25, 18896.99, 15590.63, 17386.23, 7360.31, 11758.47
542806.50, 18747.14, 15479.32, 17236.93, 7314.88, 11659.71
590752.81, 20073.71, 16461.72, 18562.08, 7714.34, 12535.59
613213.69, 20687.95, 16914.38, 19178.18, 7897.29, 12942.34
640248.75, 21421.59, 17453.27, 19916.03, 8114.24, 13429.09
647819.50, 21625.96, 17603.06, 20121.95, 8174.37, 13564.86
686989.31, 22676.13, 18370.56, 21182.63, 8481.44, 14263.72
724193.38, 23662.98, 19088.55, 22183.09, 8767.12, 14922.20
748611.25, 24305.37, 19554.30, 22836.21, 8951.66, 15351.72
782923.25, 25201.29, 20201.83, 23749.52, 9207.23, 15951.88
806118.25, 25802.65, 20635.18, 24364.06, 9377.64, 16355.43
750072.19, 24343.67, 19582.04, 22875.21, 8962.63, 15377.35
289019.81, 11268.02, 9789.79, 9929.98, 4923.50, 6799.24
133478.86, 6037.33, 5583.04, 5050.82, 3030.56, 3510.35
106044.63, 5013.42, 4723.14, 4129.77, 2622.74, 2882.99
104657.98, 4960.40, 4678.17, 4082.47, 2601.15, 2850.70
108155.99, 5093.89, 4791.32, 4201.63, 2655.42, 2932.04
121914.39, 5611.19, 5227.09, 4665.77, 2862.86, 3248.41
136376.53, 6142.97, 5670.89, 5146.64, 3071.72, 3575.46
159347.11, 6966.01, 6350.33, 5897.66, 3387.24, 4084.92
178204.75, 7624.64, 6888.23, 6504.06, 3633.78, 4495.21
205001.56, 8538.06, 7626.65, 7352.24, 3968.02, 5067.70
