CO, Alcohol, CO2, Toluene, NH4, Acetone
90.62, 16.67, 27.78, 8.53, 31.01, 6.83
136.47, 23.20, 37.41, 12.21, 40.10, 9.69
157.84, 26.09, 41.59, 13.87, 43.94, 10.98
207.27, 32.51, 50.69, 17.60, 52.14, 13.86
293.03, 43.00, 65.20, 23.83, 64.80, 18.64
278.86, 41.32, 62.90, 22.82, 62.82, 17.86
372.71, 52.23, 77.66, 29.41, 75.37, 22.90
437.01, 59.39, 87.19, 33.80, 83.30, 26.24
514.91, 67.81, 98.23, 39.02, 92.34, 30.19
570.02, 73.61, 105.77, 42.65, 98.43, 32.94
1080.39, 123.38, 168.35, 74.64, 147.08, 56.93
2141.40, 214.40, 276.82, 135.81, 226.04, 102.23
2697.75, 258.36, 327.43, 166.23, 261.33, 124.57
3380.26, 309.99, 385.77, 202.49, 301.10, 151.08
3583.83, 324.98, 402.52, 213.12, 312.37, 158.84
3784.65, 339.61, 418.79, 223.54, 323.25, 166.42
3888.51, 347.12, 427.12, 228.90, 328.80, 170.32
3708.27, 334.07, 412.63, 219.58, 319.14, 163.54
3810.39, 341.48, 420.86, 224.87, 324.63, 167.39
3658.07, 330.41, 408.56, 216.98, 316.42, 161.65
3645.61, 329.50, 407.55, 216.33, 315.74, 161.18
3695.67, 333.15, 411.61, 218.93, 318.46, 163.07
3415.47, 312.60, 388.68, 204.34, 303.07, 152.43
3547.19, 322.30, 399.52, 211.21, 310.36, 157.44
3708.27, 334.07, 412.63, 219.58, 319.14, 163.54
3474.83, 316.98, 393.58, 207.44, 306.37, 154.69
3474.83, 316.98, 393.58, 207.44, 306.37, 154.69
3510.85, 319.63, 396.54, 209.32, 308.36, 156.06
3620.79, 327.69, 405.53, 215.05, 314.39, 160.24
3522.93, 320.52, 397.53, 209.95, 309.02, 156.52
3608.44, 326.78, 404.53, 214.40, 313.71, 159.77
3683.10, 332.24, 410.59, 218.28, 317.78, 162.59
3862.33, 345.23, 425.02, 227.55, 327.40, 169.34
4414.94, 384.61, 468.42, 255.79, 356.09, 189.87
3994.75, 354.76, 435.57, 234.36, 334.41, 174.30
4172.53, 367.46, 449.57, 243.46, 343.68, 180.91
4313.74, 377.47, 460.58, 250.65, 350.94, 186.14
4285.18, 375.46, 458.37, 249.20, 349.48, 185.08
5541.08, 462.08, 552.53, 312.05, 410.72, 230.62
4935.20, 420.82, 507.93, 281.98, 381.90, 208.86
5811.34, 480.20, 572.00, 325.33, 423.19, 240.21
6465.24, 523.40, 618.10, 357.15, 452.50, 263.16
7224.15, 572.48, 670.04, 393.57, 485.18, 289.38
7936.71, 617.68, 717.46, 427.34, 514.71, 313.63
9103.38, 690.04, 792.68, 481.83, 561.02, 352.69
9076.56, 688.39, 790.98, 480.58, 559.98, 351.80
9513.98, 715.07, 818.51, 500.79, 576.78, 366.26
9654.30, 723.58, 827.27, 507.25, 582.11, 370.88
9597.97, 720.16, 823.75, 504.66, 579.97, 369.02
9998.28, 744.33, 848.59, 523.03, 595.05, 382.16
10056.62, 747.83, 852.19, 525.70, 597.23, 384.06
14133.68, 984.44, 1091.39, 708.06, 739.58, 513.90
10382.65, 767.36, 872.18, 540.58, 609.32, 394.69
11980.93, 861.44, 967.86, 612.73, 666.66, 446.14
13000.96, 920.21, 1027.09, 658.15, 701.77, 478.45
13823.64, 966.96, 1073.94, 694.45, 729.34, 504.24
11382.92, 826.54, 932.49, 585.89, 645.56, 427.01
14212.11, 988.85, 1095.79, 711.49, 742.15, 516.34
15017.31, 1033.86, 1140.58, 746.64, 768.29, 541.28
16476.46, 1114.27, 1220.12, 809.75, 814.37, 585.98
15392.27, 1054.66, 1161.21, 762.93, 780.29, 552.82
18446.61, 1220.71, 1324.53, 893.87, 874.25, 645.44
18104.76, 1202.40, 1306.64, 879.36, 864.04, 635.19
19557.62, 1279.76, 1382.05, 940.81, 906.96, 678.56
19609.47, 1282.49, 1384.72, 942.99, 908.47, 680.10
21500.98, 1381.52, 1480.58, 1022.12, 962.57, 735.86
18594.81, 1228.62, 1332.25, 900.15, 878.66, 649.88
